单字	拆分	编码权重	词库权重
䤇	酉宀火又	-1000	100
㙥	土衣八口	-1000	100
誤	言口㇞大	57	9000057
㫄	二勹方	-1000	100
㮄	木二勹方	-1000	100
𦱘	⺿二勹方	-1000	100
𣶢	氵二勹方	-1000	100
䒻	艹山巳	-1000	100
廐	广白匕旡	1	9000001
鶾	十日十人鳥	1	9000001
雗	十日十人隹	1	9000001
闙	門户口攵	1	9000001
𰻞	穴言幺幺馬長長月刂心辶	-1000	100
𰻝	穴言幺幺马长长月刂心辶	-1000	100
㝐	宀厶	-1000	100
窓	宀厶心	1	9732276
𠕺	㓁厶	-1000	100
𢍢	丿冂米廾	-1000	100
𬿪	亻丿冂米大	-1000	100
𭯣	丿冂米大毛	-1000	100
𰣗	丿冂米大田	-1000	100
𰻘	丿冂米大辶	-1000	100
𱜓	山丿冂米大山	-1000	100
鿫	气丿冂釆大	-1000	100
粤	丿冂米二ㄅ	3732	9984486
𨮁	金丿冂米二ㄅ	-1000	100
𰾺	钅丿冂米二ㄅ	-1000	100
