单字	拆分	编码权重	词库权重
⺀	゛	-1000	100
⺁	⺁	-1000	100
⺂	乛	-1000	100
⺃	乚	-1000	100
⺄	⺄	-1000	100
⺅	人	-1000	100
⺆	冂	-1000	100
⺇	⺇	-1000	100
⺈	⺈	-1000	100
⺉	刀	-1000	100
⺊	卜	-1000	100
⺋	卩	-1000	100
⺌	小	-1000	100
⺍	ツ	-1000	100
⺎	一儿	-1000	100
⺏	八儿	-1000	100
⺐	尢	-1000	100
⺑	八几	1	9000001
⺒	巳	-1000	100
⺓	幺	-1000	100
⺔	彑	-1000	100
⺕	彐	-1000	100
⺖	心	-1000	100
⺗	心	-1000	100
⺘	手	-1000	100
⺙	攵	-1000	100
⺚	一尢	-1000	100
⺛	旡	-1000	100
⺜	⺜	-1000	100
⺝	月	-1000	100
⺞	歹	-1000	100
⺟	母	-1000	100
⺠	民	-1000	100
⺡	水	-1000	100
⺢	水	-1000	100
⺣	火	-1000	100
⺤	爪	-1000	100
⺥	爪	-1000	100
⺦	爿	-1000	100
⺧		-1000	100
⺨	犬	-1000	100
⺩	王	-1000	100
⺪		-1000	100
⺫	目	-1000	100
⺬	示	-1000	100
⺭	示	-1000	100
⺮	⺮	-1000	100
⺯	糸	-1000	100
⺰	糸	-1000	100
⺱	冂乂	-1000	100
⺲	罒	-1000	100
⺳	㓁	-1000	100
⺴	冖儿	-1000	100
⺵	罒	-1000	100
⺶	羊	-1000	100
⺷	⺷	-1000	100
⺸	羊	-1000	100
⺹	老	-1000	100
⺺	聿	-1000	100
⺻	聿	-1000	100
⺼	⺼	-1000	100
⺽	⺽	1	9000001
⺾	艹	-1000	100
⺿	艹	-1000	100
⻀	艹	-1000	100
⻁	虍	-1000	100
⻂	衤	-1000	100
⻃	覀	-1000	100
⻄	西	-1000	100
⻅	见	-1000	100
⻆	角	-1000	100
⻇	角	-1000	100
⻈	言	-1000	100
⻉	贝	-1000	100
⻊	足	-1000	100
⻋	车	-1000	100
⻌	辶	-1000	100
⻍	辶	1	9000001
⻎	辶	-1000	100
⻏	阝	-1000	100
⻐	金	-1000	100
⻑	镸	-1000	100
⻒	镸	-1000	100
⻓	镸	-1000	100
⻔	门	-1000	100
⻕		-1000	100
⻖	阝	-1000	100
⻗	⻗	-1000	100
⻘	⺝	-1000	100
⻙	韦	-1000	100
⻚	页	-1000	100
⻛	风	-1000	100
⻜	飞	-1000	100
⻝	食	-1000	100
⻞	食	-1000	100
⻟	食	-1000	100
⻠	食	-1000	100
⻡	巛一自	-1000	100
⻢	马	-1000	100
⻣	骨	-1000	100
⻤	鬼	-1000	100
⻥	鱼	-1000	100
⻦	鸟	-1000	100
⻧	卤	-1000	100
⻨	麦	-1000	100
⻩	黄	-1000	100
⻪	黾	-1000	100
⻫	齐	-1000	100
⻬	齐	-1000	100
⻭	齿	-1000	100
⻮	齿	-1000	100
⻯	龙	-1000	100
⻰	龙	-1000	100
⻱	龟	-1000	100
⻲	龟	-1000	100
⻳	龟	-1000	100
⼀	一	-1000	100
⼁	丨	-1000	100
⼂	丶	-1000	100
⼃	丿	-1000	100
⼄	乙	-1000	100
⼅	丨	-1000	100
⼆	二	-1000	100
⼇	亠	-1000	100
⼈	人	-1000	100
⼉	儿	-1000	100
⼊	入	-1000	100
⼋	八	-1000	100
⼌	冂	-1000	100
⼍	冖	-1000	100
⼎	冫	-1000	100
⼏	几	-1000	100
⼐	凵	-1000	100
⼑	刀	-1000	100
⼒	力	-1000	100
⼓	勹	-1000	100
⼔	匕	-1000	100
⼕	匚	-1000	100
⼖	匚	-1000	100
⼗	十	-1000	100
⼘	卜	-1000	100
⼙	卩	-1000	100
⼚	厂	-1000	100
⼛	厶	-1000	100
⼜	又	-1000	100
⼝	口	-1000	100
⼞	囗	-1000	100
⼟	土	-1000	100
⼠	士	-1000	100
⼡	夂	-1000	100
⼢	夂	-1000	100
⼣	夕	-1000	100
⼤	大	-1000	100
⼥	女	-1000	100
⼦	子	-1000	100
⼧	宀	-1000	100
⼨	寸	-1000	100
⼩	小	-1000	100
⼪	尢	-1000	100
⼫	尸	-1000	100
⼬	屮	-1000	100
⼭	山	-1000	100
⼮	川	-1000	100
⼯	工	-1000	100
⼰	己	-1000	100
⼱	巾	-1000	100
⼲	干	-1000	100
⼳	幺	-1000	100
⼴	广	-1000	100
⼵	廴	-1000	100
⼶	廾	-1000	100
⼷	弋	-1000	100
⼸	弓	-1000	100
⼹	彑	-1000	100
⼺	彡	-1000	100
⼻	彳	-1000	100
⼼	心	-1000	100
⼽	戈	-1000	100
⼾	户	-1000	100
⼿	手	-1000	100
⽀	支	-1000	100
⽁	攵	-1000	100
⽂	文	-1000	100
⽃	斗	-1000	100
⽄	斤	-1000	100
⽅	方	-1000	100
⽆	一尢	-1000	100
⽇	日	-1000	100
⽈	曰	-1000	100
⽉	月	-1000	100
⽊	木	-1000	100
⽋	欠	-1000	100
⽌	止	-1000	100
⽍	歹	-1000	100
⽎	殳	-1000	100
⽏	毋	-1000	100
⽐	匕	-1000	100
⽑	毛	-1000	100
⽒	氏	-1000	100
⽓	气	-1000	100
⽔	水	-1000	100
⽕	火	-1000	100
⽖	爪	-1000	100
⽗	八乂	-1000	100
⽘	爻	1	9000001
⽙	爿	-1000	100
⽚	片	-1000	100
⽛	牙	-1000	100
⽜	牛	-1000	100
⽝	犬	-1000	100
⽞	亠幺	-1000	100
⽟	玉	-1000	100
⽠	瓜	-1000	100
⽡	瓦	-1000	100
⽢	甘	-1000	100
⽣	生	-1000	100
⽤	用	-1000	100
⽥	田	-1000	100
⽦	疋	-1000	100
⽧	疒	-1000	100
⽨	癶	-1000	100
⽩	白	-1000	100
⽪	皮	-1000	100
⽫	皿	-1000	100
⽬	目	-1000	100
⽭	矛	-1000	100
⽮	矢	-1000	100
⽯	石	-1000	100
⽰	示	-1000	100
⽱	禸	-1000	100
⽲	禾	-1000	100
⽳	穴	-1000	100
⽴	立	-1000	100
⽵	竹	-1000	100
⽶	米	-1000	100
⽷	糸	-1000	100
⽸	缶	-1000	100
⽹	冂乂乂	-1000	100
⽺	羊	-1000	100
⽻	羽	-1000	100
⽼	老	-1000	100
⽽	而	-1000	100
⽾	耒	-1000	100
⽿	耳	-1000	100
⾀	聿	-1000	100
⾁	肉	-1000	100
⾂	臣	-1000	100
⾃	自	-1000	100
⾄	土	-1000	100
⾅	臼	-1000	100
⾆	舌	-1000	100
⾇	舛	-1000	100
⾈	舟	-1000	100
⾉	艮	-1000	100
⾊	⺈巴	-1000	100
⾋	艹	-1000	100
⾌	虍	-1000	100
⾍	虫	-1000	100
⾎	血	-1000	100
⾏	行	-1000	100
⾐	衣	-1000	100
⾑	覀	-1000	100
⾒	见	-1000	100
⾓	角	-1000	100
⾔	言	-1000	100
⾕	谷	-1000	100
⾖	豆	-1000	100
⾗	豕	-1000	100
⾘	豸	-1000	100
⾙	贝	-1000	100
⾚	土	-1000	100
⾛	走	-1000	100
⾜	足	-1000	100
⾝	身	-1000	100
⾞	车	-1000	100
⾟	辛	-1000	100
⾠	辰	-1000	100
⾡	辶	-1000	100
⾢	邑	-1000	100
⾣	酉	-1000	100
⾤	釆	-1000	100
⾥	田土	-1000	100
⾦	金	-1000	100
⾧	镸	-1000	100
⾨	門	-1000	100
⾩	阜	-1000	100
⾪	氺	-1000	100
⾫	隹	-1000	100
⾬	雨	-1000	100
⾭	円	-1000	100
⾮	非	-1000	100
⾯	面	-1000	100
⾰	革	-1000	100
⾱	韦	-1000	100
⾲	韭	-1000	100
⾳	音	-1000	100
⾴	页	-1000	100
⾵	风	-1000	100
⾶	飞	-1000	100
⾷	食	-1000	100
⾸	䒑自	-1000	100
⾹	香	-1000	100
⾺	馬	-1000	100
⾻	骨	-1000	100
⾼	高	-1000	100
⾽	髟	-1000	100
⾾	鬥	-1000	100
⾿	鬯	-1000	100
⿀	鬲	-1000	100
⿁	鬼	-1000	100
⿂	魚	-1000	100
⿃	鸟	-1000	100
⿄	卤	-1000	100
⿅	鹿	-1000	100
⿆	麦	-1000	100
⿇	麻	-1000	100
⿈	黄	-1000	100
⿉	禾人氺	-1000	100
⿊	黑	-1000	100
⿋	业㡀	-1000	100
⿌	黾	-1000	100
⿍	鼎	-1000	100
⿎	壴支	-1000	100
⿏	鼠	-1000	100
⿐	鼻	-1000	100
⿑	齐	-1000	100
⿒	齿	-1000	100
⿓	龙	-1000	100
⿔	龟	-1000	100
⿕	龠	-1000	100
⿰	囗丨	-1000	100
⿱	囗一	-1000	100
⿲	囗	-1000	100
⿳	囗二	-1000	100
⿴	囗口	-1000	100
⿵	冂囗	-1000	100
⿶	囗凵	-1000	100
⿷	囗匚	-1000	100
⿸	囗一丨	-1000	100
⿹	囗ヿ	-1000	100
⿺	囗㇗	-1000	100
⿻	囗囗	-1000	100
〃	彡	-1000	100
々	⺈丶	1	9000001
〇	口	981	9000981
〢	〢	-1000	100
〣	川	-1000	100
〤	乂	-1000	100
〦	亠	-1000	100
〷	乂乂	1	9000001
い	レ丶	-1000	100
く	ㄑ	-1000	100
の	乛	-1000	100
も	毛	-1000	100
゛	゛	-1000	100
キ		-1000	100
ク		-1000	100
コ	コ	-1000	100
ス	ス	-1000	100
ソ	丶丿	-1000	100
チ	千	-1000	100
ツ	ツ	-1000	100
フ	フ	-1000	100
ユ	工	-1000	100
リ	リ	-1000	100
レ	レ	-1000	100
ヰ	㐄	-1000	100
ヿ	ヿ	-1000	100
ㄅ	ㄅ	-1000	100
ㄆ	夂	-1000	100
ㄇ	冂	-1000	100
ㄈ	匚	-1000	100
ㄉ	刀	-1000	100
ㄊ	一厶	-1000	100
ㄋ	ㄋ	-1000	100
ㄌ	力	-1000	100
ㄍ	川	-1000	100
ㄎ	一ㄅ	-1000	100
ㄏ	⺁	-1000	100
ㄐ	丩	-1000	100
ㄑ	ㄑ	-1000	100
ㄒ	一丨	-1000	100
ㄓ	屮一	-1000	100
ㄔ	彳	-1000	100
ㄕ	尸	-1000	100
ㄖ	日	-1000	100
ㄗ	卩	-1000	100
ㄘ	一ㄅ	-1000	100
ㄙ	厶	-1000	100
ㄚ	丷丨	-1000	100
ㄛ	一乚	-1000	100
ㄜ	一乚	-1000	100
ㄝ	十乚	-1000	100
ㄞ	一力	-1000	100
ㄟ	乁	-1000	100
ㄠ	幺	-1000	100
ㄡ	又	-1000	100
ㄢ	马	-1000	100
ㄣ	㇞	-1000	100
ㄤ	尢	-1000	100
ㄥ	ㄥ	-1000	100
ㄦ	儿	-1000	100
ㄧ	丨	-1000	100
ㄨ	乂	-1000	100
ㄩ	凵	-1000	100
ㅈ		-1000	100
ㅌ	彐	-1000	100
ㅑ		-1000	100
ㅒ	口	-1000	100
㇀	一	-1000	100
㇁	㇢	-1000	100
㇂	レ	-1000	100
㇃	レ	-1000	100
㇄	乚	-1000	100
㇅	㇅	-1000	100
㇆		-1000	100
㇇	フ	-1000	100
㇈	㇈	-1000	100
㇉	ㄅ	-1000	100
㇊	㇅	-1000	100
㇋	ㄋ	-1000	100
㇌	ㄋ	-1000	100
㇍	㇅	-1000	100
㇎	㇎	-1000	100
㇏	丶	-1000	100
㇐	一	-1000	100
㇑	丨	-1000	100
㇒	丿	-1000	100
㇓	丿	-1000	100
㇔	丶	-1000	100
㇕	ヿ	-1000	100
㇖	乛	-1000	100
㇗	㇗	-1000	100
㇘	丨一	-1000	100
㇙	レ	-1000	100
㇚	丨	-1000	100
㇛	ㄑ	-1000	100
㇜	ㄥ	-1000	100
㇝	丶	-1000	100
㇞	㇞	-1000	100
㇟	乚	-1000	100
㇠	乙	-1000	100
㇡	ㄋ	-1000	100
㇢	㇢	-1000	100
㇣	口	-1000	100
㐀	卝一	1	9000001
㐁	一囗人	1	9000001
㐂	七七七	-1000	100
㐃	厶丨	-1000	100
㐄	㐄	5	9000005
㐅	乂	1	9000001
㐆	身	-1000	100
㐇	九乙	-1000	100
㐈	入乙	-1000	100
㐉	丁乙	-1000	100
㐊	士乙	-1000	100
㐋	土乙	-1000	100
㐌	也	-1000	100
㐍	爫乙	-1000	100
㐎	文乙	-1000	100
㐏	五乙	-1000	100
㐐	女又乙	-1000	100
㐑	夂゛乙	-1000	100
㐒	刀口乙	-1000	100
㐓	可乙	-1000	100
㐔	乙	-1000	100
㐕	由乙	-1000	100
㐖	士口乚	1	9000001
㐗	老乙	-1000	100
㐘	米乙	-1000	100
㐙	豆乙	-1000	100
㐚	五口乙	-1000	100
㐛	亻口乙	-1000	100
㐜	一氺丶九	-1000	100
㐝	扌句乙	-1000	100
㐞	乙	-1000	100
㐟	非乙	-1000	100
㐠	爫子乚乙	-1000	100
㐡	九而大	1	9000001
㐢	氵爫子乙	-1000	100
㐣	广車乙	-1000	100
㐤	九十目	1	9000001
㐥	金且力乙	-1000	100
㐦	一ㄅ丨手乙	-1000	100
㐧	丶才	-1000	100
㐨	予予	-1000	100
㐩	井井	-1000	100
㐪	亠山人	-1000	100
㐫	亠㐅凵	-1000	100
㐬		-1000	100
㐭	㐭	-1000	100
㐮	衣八一	-1000	100
㐯	口香	-1000	100
㐰	亻口	-1000	100
㐱	人彡	-1000	100
㐲	亻大	-1000	100
㐳	亻一儿	-1000	100
㐴	亻夕	-1000	100
㐵	亻一	-1000	100
㐶	亻巳	-1000	100
㐷	亻马	-1000	100
㐸	亻欠	-1000	100
㐹	亻气	-1000	100
㐺	亻亻人	-1000	100
㐻	亻冂人	-1000	100
㐼	亻丿廾	-1000	100
㐽	亻风	-1000	100
㐾	亻二儿	-1000	100
㐿	亻手	-1000	100
㑀	亻大丶	-1000	100
㑁	亻屮凵	-1000	100
㑂	亻一冂人	-1000	100
㑃	亻幺力	-1000	100
㑄	亻母	-1000	100
㑅	亻⺊一	-1000	100
㑆	亻口儿	-1000	100
㑇	亻⺈彐	1	9000001
㑈	亻小	-1000	100
㑉	亻几歹	-1000	100
㑊	亻亠	-1000	100
㑋	亻曲	-1000	100
㑌	亻匚王	-1000	100
㑍	亻耒	-1000	100
㑎	亻巛山	-1000	100
㑏	亻宀寸	-1000	100
㑐	亻⺊一小	-1000	100
㑑	亻自	-1000	100
㑒	亼口人	-1000	100
㑓	亻厶又	-1000	100
㑔	亻页	-1000	100
㑕	亻山夕	-1000	100
㑖	亻亻口丨	-1000	100
㑗	亻身	-1000	100
㑘	亻戈廾	-1000	100
㑙	亻耳㇗	-1000	100
㑚	亻阝	-1000	100
㑛	亻木口	-1000	100
㑜	亻扌斤	-1000	100
㑝	亻王廾	-1000	100
㑞	亻火廾	-1000	100
㑟	亻	-1000	100
㑠	亻〢又土	-1000	100
㑡	亻卩	-1000	100
㑢	亻土厶卩	-1000	100
㑣	亻木木	-1000	100
㑤	亻艹田	-1000	100
㑥	亻日勹	-1000	100
㑦	亻户犬	-1000	100
㑧	亻禾子	-1000	100
㑨	亻口矢	-1000	100
㑩	亻罒夕	1	9000001
㑪	亻斉	-1000	100
㑫	亻亽ヿ心	-1000	100
㑬	亻女十口	-1000	100
㑭	亻田丌	-1000	100
㑮	亻冖車	-1000	100
㑯	亻頁	-1000	100
㑰	亻彑	-1000	100
㑱	亻矛木	-1000	100
㑲	亻十冂	-1000	100
㑳	亻勹勹	1	9000001
㑴	亻彐冖巾又	-1000	100
㑵	亻疒矢	-1000	100
㑶	亻气米	-1000	100
㑷	亻厶⺝匕	-1000	100
㑸	亻十口可	-1000	100
㑹	亼由曰	-1000	100
㑺	亻隹乃	-1000	100
㑻	亻宀心丿山	-1000	100
㑼	亻田夂口	-1000	100
㑽	亻土	-1000	100
㑾	亻言	-1000	100
㑿	亻巛田木	-1000	100
㒀	亻冂十口	-1000	100
㒁	亻囗土	-1000	100
㒂	亻艹耂日	-1000	100
㒃	亻弋二貝	-1000	100
㒄	亻犬灬	-1000	100
㒅	亻衣夕夕	-1000	100
㒆	亻亼口羽	-1000	100
㒇	亻卌一灬	-1000	100
㒈	亻工耳攵	-1000	100
㒉	亻木	-1000	100
㒊	亻刀丶止刀丶止	-1000	100
㒋	亻斤	-1000	100
㒌	亻火火冖几	-1000	100
㒍	亻厶厶厶糸	-1000	100
㒎	亻一大非	-1000	100
㒏	亻宀゛	-1000	100
㒐	亻⺮勹日	-1000	100
㒑	亻匚氵隹	-1000	100
㒒	亻业䒑未	-1000	100
㒓	亻土羊辶	-1000	100
㒔	亻罒勹虫	-1000	100
㒕	亻亠乡隹	-1000	100
㒖	亻艹田⽱	1	9000001
㒗	亻甘冖土	-1000	100
㒘	亻臣又立	-1000	100
㒙	亻糹白巾	-1000	100
㒚	亻爫工彐心	-1000	100
㒛	亻羽隹	-1000	100
㒜	亻一ㄅ丨	-1000	100
㒝	亻艹罒戊丶	-1000	100
㒞	亻山隹	-1000	100
㒟	亻衣馬	-1000	100
㒠	亻歺又韭	-1000	100
㒡	亻爫缶丿糸	-1000	100
㒢	亻龠	-1000	100
