字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
⼌	A		康熙部首	冂		
	A		私用区		冖	
冖	A		基本区			
冂	A		基本区			
⼧	A		康熙部首	宀		
	A		私用区		ㄇ	
ㄇ	A		注音符号			
	A		私用区		冂	
⼍	A		康熙部首	冖		
	A		私用区		⺆	
宀	A		基本区	冖		
⺆	A		部首补充			
	Ac		私用区		囪	
囪	Ac		基本区			
	Ac		私用区		囱	
囱	Ac	Acv	基本区			
鬥	Ad	Ado	基本区			
户	Ahu		基本区			
戸	Ahu		基本区			
戶	Ahu		基本区			
𠃛	Ahu		扩展B区		戸	
	Ahu		私用区		户	
𠁣	Ahu		扩展B区		戸	
	Ahu		私用区		戶	
囗	Ak	Akv	基本区			
门	Am		基本区			
門	Am		基本区			
𨳇	Am		扩展B区		門	
𨳈	Am		扩展B区		門	
	Ap		私用区		片	
	Ap		私用区		爿	
	Ap		私用区		爿	
丬	Ap		基本区			
爿	Ap	Apv	基本区			
片	Ap		基本区			
𠁤	As		扩展B区		四	
𦉫	As		扩展B区			
𦉭	As		扩展B区		四	
䍏	As		扩展A区			
罒	As		基本区			
⺲	As		部首补充	罒		
⺵	As		部首补充			
四	As		基本区			
𠃢	As		扩展B区		四	
㓁	Av		扩展A区			
	Av		私用区		⺳	
𥤢	Av		扩展B区		𦉪	
⺳	Av		部首补充			
𦉪	Av		扩展B区			
穴	Av	Avv	基本区			
	Av		私用区		穴	
	Av		私用区		㓁	
	Av		私用区		穴	
𠕉	Av		扩展B区		𦉪	
襾	Ax		基本区			
⻄	Ax		部首补充			
覀	Ax		基本区			
西	Ax		基本区			
白	Ba		基本区			
⽩	Ba		康熙部首	白		
⺜	Bo		部首补充			
日	Bo		基本区			
	Bo		私用区	𫩏	ㄖ	是
ㄖ	Bo		注音符号			
曰	Bo	Bov	基本区			
黃	Bv		基本区			
黄	Bv		基本区			
黒	Bw		基本区			
黑	Bw		基本区			
𪐗	Bw		扩展B区		黑	
⺿	C		部首补充			
	C		私用区	龶	龶	是
	C		私用区		屮	
⺾	C		部首补充			
艹	C		基本区			
龶	C		基本区补充			
屮	C		基本区			
丌	C		基本区			
卝	C		基本区			
卄	C		基本区			
艹	C		兼容区			
丱	C		基本区			
	C		私用区		艸	
	C		私用区		艸	
艸	C		基本区			
丰	Cf		基本区			
丯	Cf		基本区			
	Cf		私用区		丰	
	Cf		私用区		丰	
廾	Cg	Cgv	基本区			
	Cg		私用区		廾	
廿	Ch	Chv	基本区			
𠥻	Ch		扩展B区		廿	
十	Ci		基本区			
井	Cj		基本区			
	Cj		私用区		井	
生	Cp		基本区			
𤯓	Cp		扩展B区		生	
	Csa		私用区		卅	
